イベント名称,イベント名称（タグ付き）,イベント開始,イベント終了,状態,読み方のソース
須臾望月抄,須臾[しゅゆ]望月抄[ぼうげつしょう],2023/00/00,2023/00/00,確認済み,https://www.youtube.com/watch?v=MwKVsKcyESw
愚者の天秤,愚者[ぐしゃ]の[]天秤[てんびん],2023/8/17,2023/8/31,確認済み,https://www.youtube.com/watch?v=MwKVsKcyESw
覆天せし万象の塵,覆天[ふくてん]せし[]万象[ばんしょう]の[]塵[ちり],2023/5/25,2023/6/21,確認済み,https://www.youtube.com/watch?v=MwKVsKcyESw
黙示の遺構,黙示[もくし]の[]遺構[いこう],2023/2/23,2023/3/9,確認済み,https://www.youtube.com/watch?v=R2edT_nU5uc
積重なる事象の幻界,積重[つみかさ]なる[]事象[じしょう]の[]幻界[げんかい],2022/12/22,2023/1/5,確認済み,https://www.youtube.com/watch?v=AGGniC8RdoE
錬金術士と謎の遺跡群島,錬金術士[れんきんじゅつし]と[]謎[なぞ]の[]遺跡[いせき]群島[ぐんとう],2022/11/24,2022/12/8,確認済み,https://www.youtube.com/watch?v=21Skz2lX30w
赫の涙月 菫の暁風,赫[あか]の[]涙月[るいげつ]&nbsp;[]菫[すみれ]の[]暁風[ぎょうふう],2022/9/15,2022/10/5,確認済み,https://www.youtube.com/watch?v=ptrqFbiKDu8
鋼鷲の冒険譚,鋼鷲[はがねわし]の[]冒険譚[ぼうけんたん],2022/7/28,2022/8/11,確認済み,https://www.youtube.com/watch?v=p9NFiegaIPg&
誠閃の剣 搖光の城,誠閃[せいせん]の[]剣[つるぎ]&nbsp;[]搖光[ようこう]の[]城[しろ],2022/5/26,2022/6/16,未確認,
吟する瑠璃の楽章,吟[ぎん]する[]瑠璃[るり]の[]楽章[がくしょう],2022/4/28,2022/5/13,確認済み,https://www.youtube.com/watch?v=TIDOymYz8Vc
鳴動せし星霜の淵,鳴動[めいどう]せし[]星霜[せいそう]の[]淵[ふち],2022/2/24,2022/3/10,確認済み,https://www.youtube.com/watch?v=1jIXJpLT5Nk
遡望せし虹彩の塔,遡望[さくぼう]せし[]虹彩[こうさい]の[]塔[とう],2021/12/29,2022/1/13,確認済み,https://www.youtube.com/watch?v=rHYSJdBDFxQ
弧光は交わる世界にて,弧光[ここう]は[]交[まじ]わる[]世界[せかい]にて[],2021/11/25,2021/12/9,未確認,
駆けよ 碧海の吹き風,駆[か]けよ&nbsp;[]碧海[へきかい]の[]吹[ふ]き[]風[かぜ],2021/9/16,2021/10/3,確認済み,https://www.youtube.com/watch?v=-sFUenrKwGU&list=PLKPqu9WRnKdCv9M91UrfyDQ21UTI7MIzG&index=4
海に響くアイドルの歌,海[うみ]に[]響[ひび]くアイドルの[]歌[うた],2021/7/22,2021/8/5,未確認,
照らす螺旋の鏡海,照[て]らす[]螺旋[らせん]の[]鏡海[きょうかい],2021/5/27,2021/6/17,確認済み,https://www.youtube.com/watch?v=G9DO_iEbaJk&list=PLKPqu9WRnKdCv9M91UrfyDQ21UTI7MIzG&index=17
讃える復興の迷路,讃[たた]える[]復興[ふっこう]の[]迷路[ラビリンス],2021/4/22,2021/5/6,確認済み,Youtube
暁射す氷華の嵐,暁[あかつき]射[さ]す[]氷華[ひょうか]の[]嵐[あらし],2021/2/25,2021/3/12,確認済み,Youtube
虚畳なりし限象,虚[うつろ]畳[かさ]なりし[]限象[げんしょう],2020/12/29,2021/1/14,未確認,
激唱のユニバース,激唱[げきしょう]のユニバース[],2020/10/29,2020/11/12,未確認,
刹那觀る胡蝶の夢,刹那[せつな]觀[み]る[]胡蝶[こちょう]の[]夢[ゆめ],2020/9/17,2020/10/1,未確認,
